CY,patient_zip,Cases,,
2020,60504,24,,
2021,60504,19,,
2020,60505,56,,
2021,60505,60,,
2020,60506,69,,
2021,60506,63,,
2020,60510,16,,
2021,60510,13,,
2020,60511,*,,
2021,60511,*,,
2020,60513,14,,
2021,60513,16,,
2020,60514,*,,
2021,60514,*,,
2020,60515,35,,
2021,60515,25,,
2020,60516,15,,
2021,60516,13,,
2020,60517,24,,
2021,60517,29,,
2020,60518,*,,
2021,60518,*,,
2020,60519,*,,
2020,60520,*,,
2020,60521,11,,
2021,60521,17,,
2021,60522,*,,
2020,60523,14,,
2021,60523,15,,
2020,60525,34,,
2021,60525,34,,
2020,60526,*,,
2021,60526,13,,
2020,60527,39,,
2021,60527,42,,
2020,60531,*,,
2021,60531,*,,
2020,60532,26,,
2021,60532,19,,
2020,60534,19,,
2021,60534,15,,
2020,60537,*,,
2021,60537,*,,
2020,60538,18,,
2021,60538,16,,
2020,60540,19,,
2021,60540,16,,
2020,60542,10,,
2021,60542,10,,
2020,60543,26,,
2021,60543,16,,
2020,60544,10,,
2021,60544,22,,
2020,60545,19,,
2021,60545,*,,
2020,60546,18,,
2021,60546,20,,
2020,60548,15,,
2021,60548,*,,
2020,60549,*,,
2020,60550,*,,
2021,60550,*,,
2020,60551,*,,
2021,60551,*,,
2020,60552,*,,
2021,60552,*,,
2020,60553,*,,
2020,60554,*,,
2021,60554,*,,
2020,60555,15,,
2021,60555,*,,
2021,60556,*,,
2020,60558,*,,
2021,60558,*,,
2020,60559,40,,
2021,60559,25,,
2020,60560,16,,
2021,60560,12,,
2020,60561,30,,
2021,60561,16,,
2020,60563,16,,
2021,60563,39,,
2020,60564,15,,
2021,60564,13,,
2020,60565,17,,
2021,60565,18,,
2020,60567,*,,
2020,60585,*,,
2021,60585,*,,
2020,60586,31,,
2021,60586,30,,
2020,60601,21,,
2021,60601,25,,
2020,60602,*,,
2021,60602,*,,
2020,60603,*,,
2020,60604,15,,
2021,60604,*,,
2020,60605,44,,
2021,60605,59,,
2020,60606,19,,
2021,60606,18,,
2020,60607,160,,
2021,60607,145,,
2020,60608,395,,
2021,60608,399,,
2020,60609,214,,
2021,60609,222,,
2020,60610,73,,
2021,60610,106,,
2020,60611,29,,
2021,60611,54,,
2020,60612,676,,
2021,60612,678,,
2020,60613,62,,
2021,60613,49,,
2020,60614,43,,
2021,60614,58,,
2020,60615,109,,
2021,60615,150,,
2020,60616,108,,
2021,60616,93,,
2020,60617,270,,
2021,60617,241,,
2020,60618,138,,
2021,60618,108,,
2020,60619,398,,
2021,60619,373,,
2020,60620,345,,
2021,60620,397,,
2020,60621,287,,
2021,60621,317,,
2020,60622,382,,
2021,60622,310,,
2020,60623,702,,
2021,60623,498,,
2020,60624,859,,
2021,60624,720,,
2020,60625,141,,
2021,60625,91,,
2020,60626,155,,
2021,60626,131,,
2020,60628,383,,
2021,60628,423,,
2020,60629,316,,
2021,60629,255,,
2020,60630,114,,
2021,60630,66,,
2020,60631,30,,
2021,60631,42,,
2020,60632,110,,
2021,60632,142,,
2020,60633,*,,
2021,60633,16,,
2020,60634,124,,
2021,60634,109,,
2020,60636,289,,
2021,60636,321,,
2020,60637,256,,
2021,60637,315,,
2020,60638,143,,
2021,60638,126,,
2020,60639,310,,
2021,60639,256,,
2020,60640,199,,
2021,60640,201,,
2020,60641,174,,
2021,60641,163,,
2020,60642,27,,
2021,60642,29,,
2020,60643,109,,
2021,60643,104,,
2020,60644,793,,
2021,60644,742,,
2020,60645,64,,
2021,60645,62,,
2020,60646,27,,
2021,60646,29,,
2020,60647,238,,
2021,60647,205,,
2020,60649,313,,
2021,60649,297,,
2020,60651,775,,
2021,60651,655,,
2020,60652,80,,
2021,60652,57,,
2020,60653,237,,
2021,60653,251,,
2020,60654,53,,
2021,60654,32,,
2020,60655,23,,
2021,60655,24,,
2020,60656,32,,
2021,60656,26,,
2020,60657,38,,
2021,60657,36,,
2020,60659,40,,
2021,60659,42,,
2020,60660,49,,
2021,60660,65,,
2020,60661,*,,
2021,60661,*,,
2020,60666,*,,
2021,60668,*,,
2021,60670,*,,
2020,60674,*,,
2021,60677,*,,
2020,60680,*,,
2021,60680,*,,
2020,60687,*,,
2021,60687,*,,
2021,60690,*,,
2020,60691,*,,
2020,60706,39,,
2021,60706,31,,
2020,60707,97,,
2021,60707,57,,
2020,60712,11,,
2021,60712,*,,
2020,60714,29,,
2021,60714,23,,
2020,60803,35,,
2021,60803,31,,
2020,60804,124,,
2021,60804,133,,
2020,60805,36,,
2021,60805,25,,
2020,60827,68,,
2021,60827,62,,
2020,60901,76,,
2021,60901,77,,
2020,60910,*,,
2020,60911,*,,
2021,60912,*,,
2020,60914,24,,
2021,60914,36,,
2020,60915,22,,
2021,60915,14,,
2020,60917,*,,
2020,60921,*,,
2021,60921,*,,
2020,60922,*,,
2021,60922,*,,
2020,60927,*,,
2021,60928,*,,
2020,60929,*,,
2021,60929,*,,
2021,60931,*,,
2020,60934,*,,
2021,60934,*,,
2020,60935,*,,
2021,60935,*,,
2020,60936,*,,
2021,60936,*,,
2020,60938,*,,
2021,60938,*,,
2020,60940,*,,
2020,60942,*,,
2021,60942,*,,
2021,60944,*,,
2020,60948,*,,
2021,60948,*,,
2020,60949,*,,
2021,60949,*,,
2020,60950,25,,
2021,60950,21,,
2021,60952,*,,
2020,60953,*,,
2021,60953,*,,
2020,60954,11,,
2021,60954,*,,
2021,60955,*,,
2020,60957,*,,
2021,60957,*,,
2020,60958,*,,
2021,60958,*,,
2020,60959,*,,
2021,60959,*,,
2020,60960,*,,
2021,60960,*,,
2020,60961,*,,
2021,60962,*,,
2020,60964,*,,
2021,60964,*,,
2020,60966,*,,
2021,60966,*,,
2020,60970,25,,
2021,60970,24,,
2020,60974,*,,
2021,60974,*,,
2020,61006,*,,
2021,61006,*,,
2020,61007,*,,
2020,61008,51,,
2021,61008,35,,
2020,61010,*,,
2021,61010,*,,
2020,61011,*,,
2020,61012,*,,
2021,61012,*,,
2020,61015,*,,
2020,61016,*,,
2021,61016,*,,
2020,61018,*,,
2020,61019,*,,
2021,61019,*,,
2020,61021,20,,
2021,61021,23,,
2020,61025,*,,
2021,61028,*,,
2020,61030,*,,
2021,61030,*,,
2021,61031,*,,
2020,61032,31,,
2021,61032,29,,
2021,61036,*,,
2020,61038,*,,
2021,61038,*,,
2021,61039,*,,
2021,61043,*,,
2020,61047,*,,
2021,61047,*,,
2021,61048,*,,
2020,61051,*,,
2020,61052,*,,
2021,61052,*,,
2021,61053,*,,
2020,61054,*,,
2021,61054,*,,
2020,61061,*,,
2021,61061,*,,
2020,61062,*,,
2020,61063,*,,
2021,61063,*,,
2021,61064,*,,
2020,61065,*,,
2021,61065,12,,
2020,61067,*,,
2021,61067,*,,
2020,61068,18,,
2021,61068,18,,
2020,61071,25,,
2021,61071,11,,
2020,61072,*,,
2021,61072,*,,
2020,61073,25,,
2021,61073,12,,
2020,61074,*,,
2020,61078,*,,
2020,61080,*,,
2021,61080,12,,
2020,61081,16,,
2021,61081,19,,
2020,61084,*,,
2021,61084,*,,
2020,61085,*,,
2020,61087,*,,
2020,61088,*,,
2021,61088,*,,
2020,61101,75,,
2021,61101,68,,
2020,61102,48,,
2021,61102,49,,
2020,61103,100,,
2021,61103,55,,
2020,61104,111,,
2021,61104,105,,
2020,61105,*,,
2020,61107,53,,
2021,61107,45,,
2020,61108,65,,
2021,61108,62,,
2020,61109,54,,
2021,61109,67,,
2020,61110,*,,
2021,61110,*,,
2020,61111,32,,
2021,61111,30,,
2020,61114,14,,
2021,61114,11,,
2020,61115,32,,
2021,61115,29,,
2021,61125,*,,
2020,61132,*,,
2021,61132,*,,
2020,61201,36,,
2021,61201,31,,
2020,61230,*,,
2020,61231,*,,
2021,61231,*,,
2021,61235,*,,
2021,61237,*,,
2020,61238,*,,
2021,61238,*,,
2021,61240,*,,
2020,61241,*,,
2021,61241,*,,
2020,61242,*,,
2020,61244,14,,
2021,61244,11,,
2021,61250,*,,
2021,61252,*,,
2020,61254,*,,
2021,61254,*,,
2020,61256,*,,
2020,61258,*,,
2021,61259,*,,
2021,61263,*,,
2020,61264,*,,
2021,61264,*,,
2020,61265,38,,
2021,61265,23,,
2020,61270,*,,
2021,61270,*,,
2020,61277,*,,
2021,61279,*,,
2020,61281,*,,
2021,61281,*,,
2020,61282,11,,
2021,61282,*,,
2020,61284,*,,
2020,61301,14,,
2021,61301,*,,
2020,61310,*,,
2021,61310,*,,
2021,61312,*,,
2021,61314,*,,
2020,61315,*,,
2021,61316,*,,
2020,61319,*,,
2020,61320,*,,
2021,61321,*,,
2021,61322,*,,
2020,61325,*,,
2020,61326,*,,
2021,61326,*,,
2020,61327,*,,
2020,61330,*,,
2021,61334,*,,
2021,61335,*,,
2020,61341,15,,
2021,61341,*,,
2020,61342,*,,
2021,61342,10,,
2020,61345,*,,
2020,61348,*,,
2021,61348,*,,
2021,61349,*,,
2020,61350,34,,
2021,61350,47,,
2020,61353,*,,
2020,61354,*,,
2021,61354,11,,
2020,61356,23,,
2021,61356,13,,
2020,61359,*,,
2021,61359,*,,
2020,61360,*,,
2021,61360,*,,
2020,61362,*,,
2021,61362,*,,
2020,61364,37,,
2021,61364,32,,
2021,61367,*,,
2020,61368,*,,
2020,61369,*,,
2020,61375,*,,
2021,61377,*,,
2020,61379,*,,
2020,61401,47,,
2021,61401,27,,
2020,61402,*,,
2020,61410,*,,
2021,61410,*,,
2021,61416,*,,
2020,61418,*,,
2021,61420,*,,
2020,61422,*,,
2020,61427,*,,
2021,61427,*,,
2021,61431,*,,
2020,61434,*,,
2021,61434,*,,
2020,61436,*,,
2020,61438,*,,
2021,61438,*,,
2020,61443,15,,
2021,61443,*,,
2021,61448,*,,
2020,61455,*,,
2021,61455,12,,
2020,61462,*,,
2021,61462,*,,
2020,61465,*,,
2021,61465,*,,
2021,61473,*,,
2021,61476,*,,
2020,61479,*,,
2020,61482,*,,
2021,61483,*,,
2020,61485,*,,
2020,61486,*,,
2020,61488,*,,
2021,61488,*,,
2020,61489,*,,
2020,61491,*,,
2021,61491,*,,
2020,61520,17,,
2021,61520,*,,
2020,61523,11,,
2021,61523,*,,
2020,61525,*,,
2021,61525,*,,
2020,61528,*,,
2020,61529,*,,
2021,61529,*,,
2020,61530,*,,
2021,61530,*,,
2020,61531,*,,
2021,61531,*,,
2020,61533,*,,
2021,61533,*,,
2020,61534,*,,
2021,61535,*,,
2021,61536,*,,
2020,61537,*,,
